DevelopmentName,RecordId,FB-ID,ProductType,Latitude,Longitude
"Hailsham, Market Street",a1s3X000002XShoQAG,,Retirement Living Plus,50.8625,0.2603
Hamilton House,a1s0O000002z5JJQAY,,Retirement Living,51.52635,-2.575577
Hampson Court,a1s0O000002z589QAA,,Retirement Living,53.38301,-2.12107
Hampton Place,a1s0O000002z57rQAA,,Retirement Living,50.9263633,-1.4328938
Hardwick Grange,a1s0O000002z57qQAA,,Retirement Living,53.74819,-2.72939
Harleston,a1s0O000003CPxQQAW,,Retirement Living,52.39737,1.3198
Harvard Place,a1s0O000002z4uuQAA,,Retirement Living Plus,52.17852,-1.70076
Hawkesbury Place,a1s0O000002z4uKQAQ,,Retirement Living Plus,51.93029,-1.72085
Hawkhurst,a1s0O000002z58AQAQ,,Retirement Living,51.0457,0.5086
Haworth Court,a1s0O000002z5AIQAY,,Retirement Living,53.7066315,-2.6393151
Heathlands,a1s0O000002z4uHQAQ,,Retirement Living,51.5537547,-0.6149404
Herriot Gardens,a1s0O000002z5BHQAY,,Retirement Living,54.89803,-1.37339
Hertford,a1s0O000002z583QAA,,Lifestyle Living,51.79444,-0.0813799
Hewson Court,a1s0O000002mVqLQAU,,Retirement Living,54.9698,-2.09362
Highclere House,a1s0O000002z588QAA,,Retirement Living,51.7678541,-0.2145187
Histon Bungalows,a1s3X000002XXLxQAO,,Retirement Living,52.24648,0.10329
Hoddesdon,a1s3X0000048ES3QAM,,Retirement Living,51.76292,-0.0115
Holly Place,a1s0O000002z585QAA,,Retirement Living,51.3282306,-0.4108518
"Home Close, Histon",a1s3X000002XXLwQAO,,Retirement Living Plus,52.24648,0.10329
Homestead Place,a1s0O000002z5BIQAY,,Retirement Living,52.77018,1.51631
"Honeylands, Exeter",a1s0O000002z5B0QAI,,Retirement Living,50.73624,-3.47669
Hook,a1s0O000002z58PQAQ,,Retirement Living Plus,51.2787177,-0.9616863
Hook RL,a1s0O000002z58OQAQ,,Retirement Living,51.2787177,-0.9616863
Hythe (nr Southampton),a1s0O000002z58IQAQ,,Retirement Living,50.871427,-1.401618
Ipswich,a1s0O000002z58JQAQ,,Retirement Living,52.0541,1.15563
Island View,a1s0O000002z576QAA,,Retirement Living,51.2308707,-1.1448936
Jupiter House,a1s0O000002z5EFQAY,,Retirement Living,52.0205073,-0.6920472
Keatley Place,a1s0O000002z4vyQAA,,Retirement Living,51.9909899,-1.70475
Keerford View,a1s0O000002z4vNQAQ,,Retirement Living,54.1236187,-2.773547
"Kendal, Longpool",a1s3X000002XLGVQA4,,Retirement Living,54.3322,-2.73908
"Kettering AL, Rockingham Road",a1s0O000002z5DUQAY,,Retirement Living Plus,52.40947,-0.74731
"Kettering RL, Rockingham Road",a1s0O000002z5DVQAY,,Retirement Living,52.40823,-0.72821
Kings Langley,a1s0O000002z5DWQAY,,Retirement Living,51.72155,-0.45143
Lambrook Court,a1s0O000002z4vKQAQ,,Retirement Living Plus,51.397492,-2.342062
Lancaster Court,a1s0O000002z5ATQAY,,Retirement Living,54.66767,-3.35817
Lancer House,a1s0O000002z5DLQAY,,Retirement Living Plus,51.880396,0.888286
Langton House,a1s0O000002z4uQQAQ,,Retirement Living,51.304488,-0.061449
Lewis House,a1s0O000002z5DNQAY,,Retirement Living,51.418858,-0.102862
Lichfield,a1s0O000002mbqOQAQ,,Retirement Living Plus,52.68331,-1.82177
Lido Grange,a1s0O000002z4vUQAQ,,Retirement Living,53.33615,-3.4097
Linden Place,a1s0O000002z4umQAA,,Retirement Living,52.41727,-1.75579
"Lionheart Court, Waltham Abbey",a1s0O000002z57WQAQ,,Retirement Living,51.68314,0.00222
Llanthony Place,a1s0O000002z57fQAA,,Retirement Living Plus,51.85916,-2.25761
Llys Isan,a1s0O000002z5LqQAI,,Retirement Living Plus,51.5274815,-3.1897021
Loddon House,a1s0O000002z5DgQAI,,Retirement Living,51.4846,-0.8573
"London Road, Amersham",a1s3X000002XLFtQAO,,Retirement Living,51.66644,-0.61094
"Loughton, 52 Traps Hill",a1s3X000002XLG0QAO,,Retirement Living,51.64858,0.06552
Louis Arthur Court,a1s0O000002z5DfQAI,,Retirement Living,52.81851,1.38493
Lowe House,a1s0O000002z5DdQAI,,Retirement Living Plus,51.8661071,-0.1838038
Lyme Wood Grange,a1s0O000002z5DaQAI,,Retirement Living,52.98953,-2.50569
Lymington,a1s0O000002z5DbQAI,,Lifestyle Living,50.76129,-1.53328
"Lymington, Pennington",a1s0O000002z5DcQAI,,Retirement Living,50.7505084,-1.5547381
Macclesfield AL,a1s0O000002z5DYQAY,,Retirement Living Plus,53.28598,-2.20023
Macclesfield RL,a1s0O000002z5DZQAY,,Retirement Living,53.28598,-2.20023
"Maghull, Liverpool Road South'",a1s3X000002XU2lQAG,,Retirement Living,53.51242,-2.94663
Magpie Court,a1s0O000002z5DXQAY,,Retirement Living Plus,51.45111,-2.519608
Manor Gardens,a1s0O000002z5DhQAI,,Lifestyle Living,52.045677,0.9519638
Marden Bungalows,a1s3X000002XShhQAG,,Retirement Living,51.17461,0.49784
Market Drayton,a1s0O000002z5DkQAI,,Retirement Living,52.90585,-2.47928
Martlesham Heath,a1s3X000002XVJgQAO,,Retirement Living,52.06144,1.27207
Matcham Grange,a1s3X000002sfcEQAQ,,Retirement Living Plus,53.98833,-1.50568
Meadowsweet Place,a1s0O000002z4v1QAA,,Retirement Living,51.370518,-2.13515
"Melbourn Road, Royston",a1s0O000002gvHoQAI,,Retirement Living,52.0491273,-0.0194351
Melton Mowbray,a1s0O000002z5E8QAI,,Retirement Living,52.78629,-0.88725
Merchants Gate,a1s0O000002z5E9QAI,,Retirement Living,55.8368039,-4.2904162
Miami House,a1s0O000002z4uNQAQ,,Retirement Living Plus,51.7214267,0.4611841
Milward Place,a1s0O000002z5D1QAI,,Retirement Living,52.31074,-1.94294
Mistley (prev Manningtree),a1s3X000002XLFrQAO,,Retirement Living,51.9455,1.07668
Mistley Bungalows (Prev Manningtree),a1s3X000002XLFsQAO,,Retirement Living,51.9455,1.07668
"Montpelier, Whitsable",a1s3X000002XU2mQAG,,Retirement Living,51.34068,1.0217
Monument Place,a1s0O000002z5E5QAI,,Retirement Living Plus,51.072297,-1.795962
Neptune House,a1s0O000002z5E2QAI,,Retirement Living Plus,50.808782,-0.38399
Newark,a1s0O000002z5E4QAI,,Retirement Living,53.07089,-0.82184
Newmarket - Fordham Road,a1s0O000002z5DzQAI,,Retirement Living,52.28017,0.39365
Newport Pagnell,a1s3X000002XLGBQA4,,Retirement Living,52.08675,-0.7227
Northwood,a1s0O000002z5E0QAI,,Retirement Living,51.61223,-0.4155
"Norton, High St",a1s0O000002z5DyQAI,,Retirement Living,54.59009,-1.31194
Oakhill Place,a1s0O000002z586QAA,,Retirement Living Plus,52.1486635,-0.4352866
Oakwood 2,a1s0O000002oUAnQAM,,Retirement Living,53.82607,-1.50924
"Oakwood, Barnet",a1s0O000002z5DvQAI,,Retirement Living,51.6472928,-0.1361751
Ocean House,a1s0O000002z4vZQAQ,,Lifestyle Living,50.3362,-4.7406
Olney,a1s0O000002gvHpQAI,,Retirement Living Plus,52.157375,-0.6889993
Olney Bungalows,a1s0O000002gvHqQAI,,Retirement Living,52.16353,-0.69532
Orchard,a1s0O000002z5DxQAI,,Retirement Living,52.61856,1.24771
Orchard Gate,a1s0O000002z4uzQAA,,Lifestyle Living,52.16367,-1.65489
"Otley, Cross Green",a1s0O000002mVqVQAU,,Retirement Living Plus,53.90678,-1.68604
"Otley, Cross Green AH",a1s3X0000048EShQAM,,Retirement Living,53.90665,-1.68629
"Otley, Cross Green RL",a1s0O000002mVqWQAU,,Retirement Living,53.90678,-1.68604
Oundle,a1s3X000002XLGaQAO,,Retirement Living,52.48409,-0.4707
Pen Morvah,a1s0O000002z5OGQAY,,Retirement Living,50.829031,-4.542273
Penkridge LS,a1s0O000002z5DpQAI,,Lifestyle Living,52.73007,-2.11434
Penkridge RL,a1s0O000002z5DqQAI,,Retirement Living,52.73007,-2.11434
Pershore,a1s0O000002z5DCQAY,,Retirement Living,52.1124971,-2.076537
"Petersfield, Frenchmans Road",a1s0O000002z5DEQAY,,Retirement Living Plus,51.00686,-0.94363
"Petersfield, The Causeway",a1s0O000002z5DFQAY,,Retirement Living,51.007172,-0.943782
Pinnoc Mews,a1s0O000002z5JKQAY,,Retirement Living,50.73473,-3.480035
Plas Elyrch,a1s0O000002z5A5QAI,,Retirement Living,51.8215999,-3.02282
Plas Glanrafon,a1s0O000002z4vDQAQ,,Retirement Living,53.32142,-4.22574
Portland Grange,a1s0O000002z4m3QAA,,Retirement Living,53.1068,-2.01733
"Purley, 11-17 Banstead Road",a1s0O000002z5D7QAI,,Retirement Living,51.3383703,-0.117925
"Purley, Woodcote Valley Road",a1s0O000002z5D6QAI,,Retirement Living,51.339,-0.1222
Randolph House,a1s0O000002z4vVQAQ,,Retirement Living Plus,51.5810093,-0.3264638
Raynes Park Library,a1s0O000002z5OCQAY,,Retirement Living,51.50643,-0.12721
Reading,a1s0O000002z5D3QAI,,Retirement Living,51.4506548,-0.9572378
Riverwood,a1s0O000002z4ukQAA,,Retirement Living,55.9396085,-4.3320404
Rogerson Court,a1s0O000002z4uYQAQ,,Retirement Living,53.93132,-0.78321
Roman Court,a1s0O000002z5EDQAY,,Retirement Living,53.19306,-2.44813
Romsey,a1s0O000002gvHsQAI,,Retirement Living,51.0045,-1.4731
Rosen House,a1s0O000002z4uTQAQ,,Retirement Living,51.585218,-0.33471
