name,id,fb_id,fb_name,type,lat,lon
The Apartments at Royal Gardens,a1s0O000002z56UQAQ,23843996730940024,swl-upw - North London - Buntingford - RL The Apartments at Royal Gardens,Retirement Living,51.9586027,-0.0254836
The Boathouse,a1s0O000002z5LtQAI,23843219240740024,swl - Southern - Southampton - RL The Boathouse,Retirement Living,50.924113,-1.376998
The Cedars,a1s0O000002z5DjQAI,23843833764050024,twl - North West - Malpas - RL The Cedars,Retirement Living,53.01856,-2.76338
The Dairy,a1s0O000002z4vCQAQ,23842704091550024,swl - South East - Tunbridge Wells - RLP The Dairy,Retirement Living Plus,51.1426498,0.2596861
The Oaks,a1s0O000002z5A1QAI,23845207207090024,fwl-upw - North West - Alsager - RL The Oaks,Retirement Living,53.0931799,-2.30445
The Wickets,a1s0O000002z4usQAA,23846376154930024,new - North East - Settle - RL The Wickets,Retirement Living,54.06888,-2.28136
Topsham,a1s3X000002XLG1QAO,23845444651640024,twl - Southern - Topsham RLP,Retirement Living Plus,50.68928,-3.47241
Trinity Place,a1s0O000002z4uMQAQ,23842754058520024,swl - North London - Hazlemere - RL Trinity Place,Retirement Living,51.6523258,-0.7131252
Tumbling Weir Court,a1s0O000002z5LeQAI,23845859073730024,swl-upw - Southern - Ottery St. Mary - RL Tumbling Weir Court,Retirement Living,50.7513,-3.2851
Turner Place,a1s0O000002z57LQAQ,23843810983850024,twl-upw - Southern - Thatcham - RL Turner Place,Retirement Living,51.4022718,-1.2550403
Walter House,a1s0O000002z5ADQAY,23843370641770024,twl - North London - Chelmsford - RL Walter House,Retirement Living,51.7380269,0.4633754
Wayfarer Place,a1s0O000002z57UQAQ,23845858431180024,swl-upw - Southern - New Alresford - RLP Wayfarer Place,Retirement Living Plus,51.0907306,-1.166528
Weybridge,a1s3X000002Xd07QAC,23843996805850024,twl - South East - Weybridge - RLP Campbell House,Retirement Living,51.37059,-0.4617
Weybridge,a1s0O000002z57cQAA,23843996805850024,twl - South East - Weybridge - RLP Campbell House,Retirement Living,51.36438,-0.44762
Whitaker Grange,a1s3X000002XLFNQA4,23846262075490024,new - North East - Ossett - RLP Whitaker Grange,Retirement Living Plus,53.678943,-1.5782662
Whitelock Grange,a1s0O000002z57GQAQ,23843789701830024,twl - North East - Bingley - RL Whitelock Grange,Retirement Living,53.86364,-1.84801
Wick,a1s0O000002z57ZQAQ,23845858431200024,swl-upw - North West - Penwortham - RL Hardwick Grange,Retirement Living,50.72862,-1.78478
Wick,a1s0O000002z57ZQAQ,23846376154930024,new - North East - Settle - RL The Wickets,Retirement Living,50.72862,-1.78478
William Bradford Court,a1s0O000002z4utQAA,23844573518310024,2020 - North East - Doncaster - RL William Bradford Court,Retirement Living,53.4304599,-1.02358
William House,a1s0O000002z57KQAQ,23843807652370024,twl-upw - Southern - Thatcham - RLP William House,Retirement Living Plus,51.402143,-1.255041
Williams Place,a1s0O000002z5JLQAY,23845859086920024,swl-upw - Southern - Didcot - RLP Williams Place,Retirement Living Plus,51.605028,-1.272567
Williamson Court,a1s0O000002z5JRQAY,23844312692020024,swl-upw - North West - Lancaster - RLP Williamson Court,Retirement Living Plus,54.0376043,-2.7958532
Woodhall Spa,a1s3X000002XVJeQAO,23843861401410024,twl - East Midlands - Woodhall Spa - RL Gibson Court,Retirement Living,53.14642,-0.21644
York,a1s3X000002XLFSQA4,23846121829080024,swl-upw - North East - Yorkshire,Retirement Living Plus,53.940828,-1.0878104
